AnnoMeseEvento;TOTALE_IN;qta_CF_IN;qta_SI_IN;qta_PT_IN;qta_CP_IN;qta_CI_IN;TOTALE_OUT;qta_CF_OUT;qta_SI_OUT;qta_PT_OUT;qta_CP_OUT;qta_CI_OUT
CENTRO IMPRESE;100 Centro Imprese;202111;0;2;-2;
CENTRO IMPRESE;100 Centro Imprese;202112;0;2;-2;
CENTRO IMPRESE;100 Centro Imprese;202201;1;0;1;0.00
CENTRO IMPRESE;100 Centro Imprese;202202;2;0;2;0.00
CENTRO IMPRESE;100 Centro Imprese;202203;1;3;-2;300.00
CENTRO IMPRESE;100 Centro Imprese;TOTALE;9;17;-8;188.89
CENTRO IMPRESE; Centro Imprese;TOTALE;9;17;-8;188.89
CHIANTI-FIRENZE;020 San Casciano ;202101;10;1;9;10.00
CHIANTI-FIRENZE;020 San Casciano ;202102;6;12;-6;200.00
CHIANTI-FIRENZE;020 San Casciano ;202103;15;16;-1;106.67
CHIANTI-FIRENZE;020 San Casciano ;202104;0;3;-3;
CHIANTI-FIRENZE;020 San Casciano ;202105;17;4;13;23.53
CHIANTI-FIRENZE;020 San Casciano ;202106;0;6;-6;
CHIANTI-FIRENZE;020 San Casciano ;202107;9;1;8;11.11
CHIANTI-FIRENZE;020 San Casciano ;202108;13;5;8;38.46
CHIANTI-FIRENZE;020 San Casciano ;202109;8;3;5;37.50
CHIANTI-FIRENZE;020 San Casciano ;202110;12;2;10;16.67
CHIANTI-FIRENZE;020 San Casciano ;202111;10;3;7;30.00
CHIANTI-FIRENZE;020 San Casciano ;202112;14;10;4;71.43
CHIANTI-FIRENZE;020 San Casciano ;202201;7;5;2;71.43
CHIANTI-FIRENZE;020 San Casciano ;202202;12;6;6;50.00
CHIANTI-FIRENZE;020 San Casciano ;202203;14;13;1;92.86
CHIANTI-FIRENZE;020 San Casciano ;202204;11;7;4;63.64
CHIANTI-FIRENZE;020 San Casciano ;TOTALE;158;97;61;61.39
CHIANTI-FIRENZE;021 Montespertoli ;202102;4;8;-4;200.00
CHIANTI-FIRENZE;021 Montespertoli ;202103;1;3;-2;300.00
CHIANTI-FIRENZE;021 Montespertoli ;202105;4;1;3;25.00
CHIANTI-FIRENZE;021 Montespertoli ;202106;0;1;-1;
CHIANTI-FIRENZE;021 Montespertoli ;202107;1;0;1;0.00
