Fascia;Area;AnnoMeseEvento;qta
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202111;6
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202112;2
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202202;7
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202203;8
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202204;6
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202101;1
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202102;1
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202103;6
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202105;7
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202106;2
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202107;4
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202108;1
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202109;1
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202110;4
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202111;6
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202112;1
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202201;1
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202203;9
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202204;3
Fascia 4 (61-70 anni);PISTOIA-TIRRENO;202205;1
Fascia 4 (61-70 anni);SIENA;202101;1
Fascia 4 (61-70 anni);SIENA;202103;9
Fascia 4 (61-70 anni);SIENA;202105;9
Fascia 4 (61-70 anni);SIENA;202107;2
Fascia 4 (61-70 anni);SIENA;202108;4
Fascia 4 (61-70 anni);SIENA;202109;2
Fascia 4 (61-70 anni);SIENA;202110;1
Fascia 4 (61-70 anni);SIENA;202111;6
Fascia 4 (61-70 anni);SIENA;202112;4
Fascia 4 (61-70 anni);SIENA;202201;4
Fascia 4 (61-70 anni);SIENA;202202;1
Fascia 4 (61-70 anni);SIENA;202203;4
Fascia 4 (61-70 anni);SIENA;202204;2
Fascia 4 (61-70 anni);_Chiusa_;202107;1
Fascia 4 (61-70 anni);_Chiusa_;202110;1
Fascia 4 (61-70 anni);_Chiusa_;202112;1
Fascia 5 (oltre 70 anni);CAMPI-PRATO;202102;2
Fascia 5 (oltre 70 anni);CAMPI-PRATO;202103;2
Fascia 5 (oltre 70 anni);CAMPI-PRATO;202105;6
Fascia 5 (oltre 70 anni);CAMPI-PRATO;202107;3
Fascia 5 (oltre 70 anni);CAMPI-PRATO;202108;2
Fascia 5 (oltre 70 anni);CAMPI-PRATO;202109;2
Fascia 5 (oltre 70 anni);CAMPI-PRATO;202111;2
Fascia 5 (oltre 70 anni);CAMPI-PRATO;202203;3
Fascia 5 (oltre 70 anni);CAMPI-PRATO;202204;4
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202101;2
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202102;3
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202103;5
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202105;12
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202107;2
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202108;3
Fascia 5 (oltre 70 anni);CHIANTI-FIRENZE;202109;1
